"kwtSMS","kwtSMS"
"kwtSMS Dashboard","لوحة تحكم kwtSMS"
"Dashboard","لوحة التحكم"
"Templates","القوالب"
"SMS Logs","سجل الرسائل"
"Settings","الاعدادات"
"Help","المساعدة"
"General Settings","الاعدادات العامة"
"Enable Module","تفعيل الوحدة"
"Test Mode","وضع الاختبار"
"When enabled, SMS will be queued in kwtSMS but not delivered. Credits are recoverable.","عند التفعيل, سيتم وضع الرسائل في قائمة الانتظار في kwtSMS ولن يتم ارسالها. يمكن استرداد الرصيد."
"Debug Logging","سجل التصحيح"
"Log detailed API requests and responses (credentials excluded)","تسجيل تفاصيل طلبات واستجابات API (بدون بيانات الاعتماد)"
"Default Country Code","رمز الدولة الافتراضي"
"Prepended to local numbers without country code","يضاف قبل الارقام المحلية التي لا تحتوي على رمز الدولة"
"Gateway Settings","اعدادات البوابة"
"API Username","اسم مستخدم API"
"Found in your kwtSMS.com account API page","موجود في صفحة API في حسابك على kwtSMS.com"
"API Password","كلمة مرور API"
"API password (not your account password)","كلمة مرور API (وليست كلمة مرور حسابك)"
"Sender ID","معرف المرسل"
"Your approved Sender ID (case sensitive). Fetch available IDs via Test Connection.","معرف المرسل المعتمد (حساس لحالة الاحرف). احصل على المعرفات المتاحة عبر اختبار الاتصال."
"Test Connection","اختبار الاتصال"
"SMS Integrations","تكاملات الرسائل القصيرة"
"New Order SMS to Customer","رسالة طلب جديد للعميل"
"Order Status Change SMS","رسالة تغيير حالة الطلب"
"Shipment SMS with Tracking","رسالة الشحن مع التتبع"
"Invoice/Payment SMS","رسالة الفاتورة/الدفع"
"Refund SMS","رسالة الاسترجاع"
"Cancellation SMS","رسالة الالغاء"
"Welcome SMS on Registration","رسالة ترحيب عند التسجيل"
"Admin Alert: New Order","تنبيه المدير: طلب جديد"
"Admin Alert: New Customer","تنبيه المدير: عميل جديد"
"Admin Alert: Low Stock","تنبيه المدير: مخزون منخفض"
"Admin Alert Settings","اعدادات تنبيهات المدير"
"Admin Phone Number(s)","ارقام هاتف المدير"
"Comma-separated phone numbers with country code (e.g. 96598765432)","ارقام الهاتف مفصولة بفواصل مع رمز الدولة (مثال: 96598765432)"
"Low Stock Threshold","حد المخزون المنخفض"
"Alert when product stock falls below this number","تنبيه عندما ينخفض مخزون المنتج عن هذا الرقم"
"SMS logs cleared.","تم مسح سجل الرسائل."
"Could not clear SMS logs: %1","تعذر مسح سجل الرسائل: %1"
"Testing...","جاري الاختبار..."
"Connected! Balance: ","متصل! الرصيد: "
"Connection failed.","فشل الاتصال."
"Request failed. Check your network and try again.","فشل الطلب. تحقق من الشبكة وحاول مرة اخرى."
"Balance","الرصيد"
"Available Balance","الرصيد المتاح"
"Purchased Balance","الرصيد المشترى"
"Sender IDs","معرفات المرسل"
"Coverage","التغطية"
"Last Synced","اخر مزامنة"
"Connection Status","حالة الاتصال"
"Connected","متصل"
"Not Connected","غير متصل"
"Not Configured","غير مهيأ"
"Enabled","مفعل"
"Disabled","معطل"
"SMS Statistics","احصائيات الرسائل"
"Total Sent","اجمالي المرسل"
"Total Failed","اجمالي الفاشل"
"Total Skipped","اجمالي المتخطى"
"Today","اليوم"
"This Week","هذا الاسبوع"
"This Month","هذا الشهر"
"Sent","مرسل"
"Failed","فشل"
"Pending","قيد الانتظار"
"Queued","في قائمة الانتظار"
"Skipped","متخطى"
"Test","اختبار"
"ID","المعرف"
"Recipient","المستلم"
"Message","الرسالة"
"Event Type","نوع الحدث"
"Status","الحالة"
"Points Charged","النقاط المخصومة"
"Error Code","رمز الخطأ"
"Created At","تاريخ الانشاء"
"API Response","استجابة API"
"Message ID","معرف الرسالة"
"Related Entity","الكيان المرتبط"
"Test Mode Enabled","وضع الاختبار مفعل"
"Clear All Logs","مسح جميع السجلات"
"Are you sure you want to clear all SMS logs?","هل انت متأكد من مسح جميع سجلات الرسائل؟"
"Edit Template","تعديل القالب"
"Template Name","اسم القالب"
"Event Type","نوع الحدث"
"Message (English)","الرسالة (الانجليزية)"
"Message (Arabic)","الرسالة (العربية)"
"Active","نشط"
"Inactive","غير نشط"
"Save","حفظ"
"Save and Continue","حفظ ومتابعة"
"Back","رجوع"
"Delete","حذف"
"Reset","اعادة تعيين"
"Template saved successfully.","تم حفظ القالب بنجاح."
"Could not save template.","تعذر حفظ القالب."
"Template deleted successfully.","تم حذف القالب بنجاح."
"New Order","طلب جديد"
"Order Shipped","تم شحن الطلب"
"Order Invoiced","تم فوترة الطلب"
"Order Refunded","تم استرجاع الطلب"
"Order Cancelled","تم الغاء الطلب"
"Order Status Changed","تم تغيير حالة الطلب"
"Customer Welcome","ترحيب العميل"
"Admin: New Order","المدير: طلب جديد"
"Admin: New Customer","المدير: عميل جديد"
"Admin: Low Stock","المدير: مخزون منخفض"
"Quick Start Guide","دليل البدء السريع"
"Available Template Variables","متغيرات القوالب المتاحة"
"Troubleshooting","استكشاف الاخطاء"
"Frequently Asked Questions","الاسئلة الشائعة"
"No records found.","لم يتم العثور على سجلات."
"Actions","الاجراءات"
"View","عرض"
"Edit","تعديل"
